n,time_s,adc_low,adc_high,adc_low_norm,adc_high_norm
413,0.00413,72,40,0.28125,0.15625
414,0.00414,77,54,0.30078125,0.2109375
415,0.00415,65,60,0.25390625,0.234375
416,0.00416,41,59,0.16015625,0.23046875
417,0.00417,14,44,0.0546875,0.171875
418,0.00418,0,30,0,0.1171875
419,0.00419,3,19,0.01171875,0.07421875
420,0.0042,21,17,0.08203125,0.06640625
421,0.00421,48,25,0.1875,0.09765625
422,0.00422,71,39,0.27734375,0.15234375
423,0.00423,77,53,0.30078125,0.20703125
424,0.00424,67,61,0.26171875,0.23828125
425,0.00425,42,57,0.1640625,0.22265625
426,0.00426,16,46,0.0625,0.1796875
427,0.00427,0,31,0,0.12109375
428,0.00428,3,20,0.01171875,0.078125
429,0.00429,21,16,0.08203125,0.0625
430,0.0043,49,25,0.19140625,0.09765625
431,0.00431,71,39,0.27734375,0.15234375
432,0.00432,77,53,0.30078125,0.20703125
433,0.00433,65,60,0.25390625,0.234375
434,0.00434,37,54,0.14453125,0.2109375
435,0.00435,12,43,0.046875,0.16796875
436,0.00436,0,28,0,0.109375
437,0.00437,5,18,0.01953125,0.0703125
438,0.00438,27,17,0.10546875,0.06640625
439,0.00439,56,30,0.21875,0.1171875
440,0.0044,74,42,0.2890625,0.1640625
441,0.00441,75,55,0.29296875,0.21484375
442,0.00442,58,60,0.2265625,0.234375
443,0.00443,31,54,0.12109375,0.2109375
444,0.00444,12,45,0.046875,0.17578125
445,0.00445,0,25,0,0.09765625
446,0.00446,11,17,0.04296875,0.06640625
447,0.00447,36,20,0.140625,0.078125
448,0.00448,63,33,0.24609375,0.12890625
449,0.00449,73,44,0.28515625,0.171875
450,0.0045,71,57,0.27734375,0.22265625
451,0.00451,46,57,0.1796875,0.22265625
452,0.00452,19,48,0.07421875,0.1875
453,0.00453,1,32,0.00390625,0.125
454,0.00454,8,28,0.03125,0.109375
455,0.00455,22,17,0.0859375,0.06640625
456,0.00456,51,26,0.19921875,0.1015625
457,0.00457,73,41,0.28515625,0.16015625
458,0.00458,76,54,0.296875,0.2109375
459,0.00459,61,61,0.23828125,0.23828125
460,0.0046,30,53,0.1171875,0.20703125
461,0.00461,6,38,0.0234375,0.1484375
462,0.00462,0,24,0,0.09375
463,0.00463,13,17,0.05078125,0.06640625
464,0.00464,41,23,0.16015625,0.08984375
465,0.00465,67,36,0.26171875,0.140625
466,0.00466,78,50,0.3046875,0.1953125
467,0.00467,66,58,0.2578125,0.2265625
468,0.00468,38,55,0.1484375,0.21484375
469,0.00469,8,39,0.03125,0.15234375
470,0.0047,0,28,0,0.109375
471,0.00471,9,20,0.03515625,0.078125
472,0.00472,35,20,0.13671875,0.078125
473,0.00473,63,32,0.24609375,0.125
474,0.00474,81,52,0.31640625,0.203125
475,0.00475,69,58,0.26953125,0.2265625
476,0.00476,43,57,0.16796875,0.22265625
477,0.00477,14,45,0.0546875,0.17578125
478,0.00478,0,30,0,0.1171875
479,0.00479,5,18,0.01953125,0.0703125
480,0.0048,32,20,0.125,0.078125
481,0.00481,61,31,0.23828125,0.12109375
482,0.00482,78,48,0.3046875,0.1875
483,0.00483,70,57,0.2734375,0.22265625
484,0.00484,46,59,0.1796875,0.23046875
485,0.00485,14,45,0.0546875,0.17578125
486,0.00486,0,30,0,0.1171875
487,0.00487,6,19,0.0234375,0.07421875
488,0.00488,33,20,0.12890625,0.078125
489,0.00489,62,32,0.2421875,0.125
490,0.0049,77,47,0.30078125,0.18359375
491,0.00491,69,58,0.26953125,0.2265625
492,0.00492,41,56,0.16015625,0.21875
493,0.00493,12,43,0.046875,0.16796875
494,0.00494,0,28,0,0.109375
495,0.00495,9,19,0.03515625,0.07421875
496,0.00496,38,22,0.1484375,0.0859375
497,0.00497,66,34,0.2578125,0.1328125
498,0.00498,77,50,0.30078125,0.1953125
499,0.00499,65,59,0.25390625,0.23046875
500,0.005,34,54,0.1328125,0.2109375
501,0.00501,7,40,0.02734375,0.15625
502,0.00502,0,25,0,0.09765625
503,0.00503,17,20,0.06640625,0.078125
504,0.00504,46,24,0.1796875,0.09375
505,0.00505,72,39,0.28125,0.15234375
506,0.00506,76,53,0.296875,0.20703125
507,0.00507,56,57,0.21875,0.22265625
508,0.00508,24,50,0.09375,0.1953125
509,0.00509,2,35,0.0078125,0.13671875
510,0.0051,2,21,0.0078125,0.08203125
511,0.00511,26,19,0.1015625,0.07421875
512,0.00512,58,30,0.2265625,0.1171875
513,0.00513,77,45,0.30078125,0.17578125
514,0.00514,70,56,0.2734375,0.21875
515,0.00515,42,56,0.1640625,0.21875
516,0.00516,12,44,0.046875,0.171875
517,0.00517,0,28,0,0.109375
518,0.00518,11,19,0.04296875,0.07421875
519,0.00519,42,23,0.1640625,0.08984375
520,0.0052,70,37,0.2734375,0.14453125
521,0.00521,76,51,0.296875,0.19921875
522,0.00522,57,57,0.22265625,0.22265625
523,0.00523,25,50,0.09765625,0.1953125
524,0.00524,2,36,0.0078125,0.140625
525,0.00525,3,22,0.01171875,0.0859375
526,0.00526,28,20,0.109375,0.078125
527,0.00527,60,30,0.234375,0.1171875
528,0.00528,77,46,0.30078125,0.1796875
529,0.00529,66,54,0.2578125,0.2109375
530,0.0053,37,54,0.14453125,0.2109375
531,0.00531,8,41,0.03125,0.16015625
532,0.00532,0,26,0,0.1015625
533,0.00533,18,19,0.0703125,0.07421875
534,0.00534,52,29,0.203125,0.11328125
535,0.00535,74,41,0.2890625,0.16015625
536,0.00536,73,55,0.28515625,0.21484375
537,0.00537,47,57,0.18359375,0.22265625
538,0.00538,13,44,0.05078125,0.171875
539,0.00539,0,29,0,0.11328125
540,0.0054,11,20,0.04296875,0.078125
541,0.00541,43,23,0.16796875,0.08984375
542,0.00542,71,37,0.27734375,0.14453125
543,0.00543,76,52,0.296875,0.203125
544,0.00544,53,56,0.20703125,0.21875
545,0.00545,20,48,0.078125,0.1875
546,0.00546,0,32,0,0.125
547,0.00547,7,20,0.02734375,0.078125
548,0.00548,38,22,0.1484375,0.0859375
