k,freq_hz,mag_db
698,34082.0312,-13.4536152
699,34130.8594,-12.8848591
700,34179.6875,-12.7667961
701,34228.5156,-13.3224125
702,34277.3438,-13.8754759
703,34326.1719,-13.4773159
704,34375,-13.2494745
705,34423.8281,-13.280592
706,34472.6562,-13.08885
707,34521.4844,-13.4419641
708,34570.3125,-13.0848083
709,34619.1406,-13.200902
710,34667.9688,-12.9472389
711,34716.7969,-13.5965014
712,34765.625,-13.0936346
713,34814.4531,-13.7703848
714,34863.2812,-13.6211824
715,34912.1094,-13.6115122
716,34960.9375,-13.0983391
717,35009.7656,-13.040947
718,35058.5938,-13.4879665
719,35107.4219,-13.5765457
720,35156.25,-13.6886768
721,35205.0781,-13.3486032
722,35253.9062,-13.3965626
723,35302.7344,-13.7577648
724,35351.5625,-12.7258863
725,35400.3906,-13.6344452
726,35449.2188,-13.6352654
727,35498.0469,-13.361475
728,35546.875,-13.4019814
729,35595.7031,-13.6764622
730,35644.5312,-13.456706
731,35693.3594,-13.4952297
732,35742.1875,-13.4387197
733,35791.0156,-13.3422165
734,35839.8438,-13.2035694
735,35888.6719,-13.7815075
736,35937.5,-13.3481541
737,35986.3281,-13.8012362
738,36035.1562,-13.226326
739,36083.9844,-13.5755358
740,36132.8125,-13.8346624
741,36181.6406,-13.7147064
742,36230.4688,-13.8600302
743,36279.2969,-13.8586607
744,36328.125,-13.0121136
745,36376.9531,-13.6965742
746,36425.7812,-14.0145721
747,36474.6094,-13.9520435
748,36523.4375,-14.0638733
749,36572.2656,-14.2466774
750,36621.0938,-13.5707188
751,36669.9219,-13.4996567
752,36718.75,-14.1563988
753,36767.5781,-13.6957254
754,36816.4062,-13.7121677
755,36865.2344,-13.9781103
756,36914.0625,-13.9896212
757,36962.8906,-14.231638
758,37011.7188,-13.5923309
759,37060.5469,-14.014039
760,37109.375,-13.9627733
761,37158.2031,-13.7781057
762,37207.0312,-13.8032007
763,37255.8594,-13.786993
764,37304.6875,-13.937582
765,37353.5156,-14.1369247
766,37402.3438,-13.6881809
767,37451.1719,-13.9806423
768,37500,-13.8985357
769,37548.8281,-14.0674095
770,37597.6562,-13.9528084
771,37646.4844,-13.7105789
772,37695.3125,-13.9336386
773,37744.1406,-14.0117655
