freq_hz,mag_db
1.172128027343750000e+04,-4.739154338836669922e+00
1.173050000000000000e+04,-4.737153530120849609e+00
1.173972656250000000e+04,-4.761082172393798828e+00
1.174895996093750000e+04,-4.782659530639648438e+00
1.175820117187500000e+04,-4.788207054138183594e+00
1.176745019531250000e+04,-4.787571907043457031e+00
1.177670605468750000e+04,-4.779491424560546875e+00
1.178596875000000000e+04,-4.789441585540771484e+00
1.179523925781250000e+04,-4.802317142486572266e+00
1.180451660156250000e+04,-4.798550128936767578e+00
1.181380175781250000e+04,-4.806295394897460938e+00
1.182309375000000000e+04,-4.813115119934082031e+00
1.183239257812500000e+04,-4.813264846801757812e+00
1.184170019531250000e+04,-4.821908950805664062e+00
1.185101367187500000e+04,-4.824636459350585938e+00
1.186033496093750000e+04,-4.824518203735351562e+00
1.186966406250000000e+04,-4.823753833770751953e+00
1.187900000000000000e+04,-4.840818405151367188e+00
1.188834375000000000e+04,-4.821598052978515625e+00
1.189769433593750000e+04,-4.850796699523925781e+00
1.190705273437500000e+04,-4.841550827026367188e+00
1.191641796875000000e+04,-4.867207527160644531e+00
1.192579101562500000e+04,-4.857736110687255859e+00
1.193517089843750000e+04,-4.859435081481933594e+00
1.194455859375000000e+04,-4.874942779541015625e+00
1.195395410156250000e+04,-4.869344711303710938e+00
1.196335644531250000e+04,-4.864094734191894531e+00
1.197276562500000000e+04,-4.886210441589355469e+00
1.198218359375000000e+04,-4.888338088989257812e+00
1.199160742187500000e+04,-4.880355358123779297e+00
1.200104003906250000e+04,-4.892286777496337891e+00
1.201047949218750000e+04,-4.880416870117187500e+00
1.201992578125000000e+04,-4.919057369232177734e+00
1.202938085937500000e+04,-4.890986919403076172e+00
1.203884179687500000e+04,-4.888359546661376953e+00
1.204831152343750000e+04,-4.905853748321533203e+00
1.205778808593750000e+04,-4.915865421295166016e+00
1.206727246093750000e+04,-4.894794940948486328e+00
1.207676367187500000e+04,-4.939382553100585938e+00
1.208626269531250000e+04,-4.934507369995117188e+00
1.209576855468750000e+04,-4.958492279052734375e+00
1.210528320312500000e+04,-4.960412025451660156e+00
1.211480468750000000e+04,-4.958640575408935547e+00
1.212433300781250000e+04,-4.967027664184570312e+00
1.213387011718750000e+04,-4.949038028717041016e+00
1.214341406250000000e+04,-4.983039855957031250e+00
1.215296484375000000e+04,-4.967251777648925781e+00
1.216252441406250000e+04,-4.976263046264648438e+00
1.217209082031250000e+04,-4.957762718200683594e+00
1.218166406250000000e+04,-4.991393566131591797e+00
1.219124609375000000e+04,-4.984976768493652344e+00
1.220083496093750000e+04,-4.992762088775634766e+00
1.221043164062500000e+04,-4.969285011291503906e+00
1.222003515625000000e+04,-4.993386745452880859e+00
1.222964746093750000e+04,-4.988582134246826172e+00
1.223926660156250000e+04,-5.012627124786376953e+00
1.224889355468750000e+04,-5.000052928924560547e+00
1.225852734375000000e+04,-5.002200603485107422e+00
